layers = 2
Best_epoch = 84 | Final_Acc = 0.7900 
Best_epoch = 90 | Final_Acc = 0.7880 
Best_epoch = 69 | Final_Acc = 0.7870 
Best_epoch = 58 | Final_Acc = 0.7880 
Best_epoch = 105 | Final_Acc = 0.7760 

layers = 6
Best_epoch = 63 | Final_Acc = 0.7730 
Best_epoch = 58 | Final_Acc = 0.7730 
Best_epoch = 65 | Final_Acc = 0.7720 
Best_epoch = 77 | Final_Acc = 0.7650 
Best_epoch = 140 | Final_Acc = 0.7320 
